Sl. No.,Name of District,Name of Police Station,Name of Landmark,Name of Location,Lattitude,Longitude,Name of Road,HOSPITAL NEAR LATITUDE,HOSPITAL NEAR LONGITUDE,Accident Severity Index,Type of Road,Number of Fatalities,Sum of Fatal & Grievous Injury Crashes
123,Kottayam,PALAI,Hotel Bion - Lalam Bridge Junction,Lalam Bridge,9.713100115,76.68332413,Main Eastern Highway (SH 8),9.711574231,76.68055605,135,SH,3,41
124,Ernakulam,CITY TRAFFIC EAST,Le Meridian - Audi Kochi,Kundanoor Junction,9.934757616,76.31773924,National Highway 66 (NH 66),9.938781906,76.322322,135,NH,3,41
125,Kollam,CHAVARA,Vijaya Palace - Star Bike Workshop,Nallezuthu Junction,8.988664397,76.53398593,National Highway 66 (NH 66),9.011401692,76.53625648,134,NH,5,38
126,Ernakulam,CITY TRAFFIC EAST,Hotel Malabar Illam - Tata Motors,Chalikkavattom,9.982418485,76.31673787,National Highway 66 (NH 66),9.986036493,76.30469276,134,NH,9,34
127,Ernakulam,ALUVA,Tamarind Rajadhani - Pulinchuvadu Metro Station,Pulinchuvadu,10.09563147,76.34656954,National Highway 544 (NH - 544),10.10136146,76.34697989,133,NH,4,39
128,Ernakulam,CITY TRAFFIC EAST,PVS Hospital - Mathrubhumi Junction,Kaloor Junction,9.994765572,76.29198517,Banerji Road,9.994163609,76.28554878,133,SH,4,39
129,Ernakulam,CITY TRAFFIC EAST,Decathlon - Chambakkara River Bridge,Thykoodam,9.963157419,76.31912922,National Highway 66 (NH 66),9.970532225,76.29912314,133,NH,4,39
130,Alappuzha,Aroor,"Muthoot, Eramalloor - 50m before Madeena Supermarket",Eramalloor,9.823454918,76.31114304,National Highway 66 (NH 66),9.816227284,76.31249096,133,NH,8,35
131,Idukki,THODUPUZHA,Smitha Hospital -Vengalloor School Road Junction,Vengalloor,9.908728201,76.70242717,Punalur - Muvattupuzha Road (SH,9.910473743,76.70006385,131,SH,2,41
132,Ernakulam,CITY TRAFFIC EAST,"Nest, CUSAT Junction - 70m after Town Hall",South Kalamassery Junction,10.04764314,76.31831873,National Highway 544 (NH - 544),10.03875732,76.31582596,131,NH,2,41
133,Thiruvananthapuram,City Traffic,Ranigiri Church - State Bank of India,Mananthala Junction,8.564437688,76.94391785,Main Central Road (SH 1),8.57510487,76.92600152,131,SH,2,41
134,Kollam,Sakthikulangara PS,Central Bank of India - 70m after NSS karayogam,Kavanad,8.557083845,76.92304909,National Highway 66 (NH 66),8.559577977,76.91509168,131,NH,5,37
135,Thiruvananthapuram,Kilimanoor,Indian Overseas Bank - Erapil Road Junction,Kilimanoor Junction,8.77286482,76.87988461,Main Central Road (SH 1),8.698689292,76.81443282,131,SH,5,37
136,Thrissur,CHALAKUDI,100 mts before Mini Civil Station - CSI St Johns Church,Court Jn,10.43653634,76.21796171,National Highway 544 (NH - 544),10.39418163,76.2213212,131,NH,5,37
